Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,14, 1222917164, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,14, 1398759693, 0,60,14.516233444213867, -1, 4489, 4489, -1, -1, 19, -1
3,12345678,14, 662557978, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
4,12345678,14, 1214490970, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,14, 523626059, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,14, 1699112755, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
7,12345678,14, 912569864, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
8,12345678,14, 468460888, 0,60,48.44643759727478, -1, 4965, 4965, -1, -1, 12, -1
9,12345678,14, 1733630842, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,14, 1887155679, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
11,12345678,14, 1690481054, 0,60,7.887933254241943, -1, 5947, 5947, -1, -1, 9, -1
12,12345678,14, 934232269, 0,60,23.73452401161194, -1, 5861, 5861, -1, -1, 25, -1
13,12345678,14, 152736246, 0,60,4.897900581359863, -1, 5149, 5149, -1, -1, 8, -1
14,12345678,14, 521289716, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
15,12345678,14, 947339186, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
16,12345678,14, 1163704234, 0,60,13.26356315612793, -1, 6511, 6511, -1, -1, 14, -1
17,12345678,14, 693193886, 0,60,36.88435983657837, -1, 5877, 5877, -1, -1, 34, -1
18,12345678,14, 1024015793, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,14, 1449869304, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,14, 1286893923, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
21,12345678,14, 132275850, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
22,12345678,14, 550209762, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
23,12345678,14, 674707900, 0,60,6.92448353767395, -1, 4941, 4941, -1, -1, 9, -1
24,12345678,14, 730190139, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
25,12345678,14, 1233856198, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,14, 813190119, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
27,12345678,14, 1470448036, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
28,12345678,14, 23670231, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,14, 1787945084, 0,60,-1, -1, -1, -1, -1, -1, -1, -1
30,12345678,14, 1848970766, 0,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 5.218514513969422, 26.666666666666668%, 5467.5 to 5467.5, -1
ODA-queue, 0.0, 0.0%, 0 to 0, -1
